Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-08-09
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	BINOMIAL
Bonferroni correction:	true
Bonferroni count:	8494
GO Term	SizeDE	genes	expected	Direction	Enrichment	P-value 
regulation of hemopoiesis (GO:1903706)	376	171	109.56	+	1.56	2.18E-04
programmed cell death (GO:0012501)	828	376	241.27	+	1.56	1.28E-12
negative regulation of cellular protein metabolic process (GO:0032269)	967	439	281.78	+	1.56	3.32E-15
organic substance transport (GO:0071702)	1740	789	507.02	+	1.56	3.31E-30
regulation of multi-organism process (GO:0043900)	386	175	112.48	+	1.56	1.85E-04
heterocycle metabolic process (GO:0046483)	3731	1691	1087.19	+	1.56	8.71E-76
nucleic acid metabolic process (GO:0090304)	3100	1404	903.32	+	1.55	7.54E-60
response to organonitrogen compound (GO:0010243)	689	312	200.77	+	1.55	7.31E-10
small molecule biosynthetic process (GO:0044283)	466	211	135.79	+	1.55	7.67E-06
regulation of defense response (GO:0031347)	561	254	163.47	+	1.55	1.53E-07
regulation of protein transport (GO:0051223)	665	301	193.78	+	1.55	2.12E-09
positive regulation of molecular function (GO:0044093)	1401	634	408.24	+	1.55	3.69E-23
leukocyte differentiation (GO:0002521)	347	157	101.11	+	1.55	1.07E-03
regulation of small molecule metabolic process (GO:0062012)	325	147	94.70	+	1.55	2.69E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	2677	1209	780.06	+	1.55	2.88E-49
cell cycle (GO:0007049)	1172	529	341.51	+	1.55	1.75E-18
regulation of cellular localization (GO:0060341)	834	376	243.02	+	1.55	3.54E-12
phosphorylation (GO:0016310)	996	449	290.23	+	1.55	4.17E-15
cell death (GO:0008219)	869	391	253.22	+	1.54	1.19E-12
positive regulation of catalytic activity (GO:0043085)	1038	467	302.47	+	1.54	1.10E-15
regulation of actin cytoskeleton organization (GO:0032956)	329	148	95.87	+	1.54	3.31E-03
macromolecule localization (GO:0033036)	2081	936	606.39	+	1.54	1.22E-35
RNA metabolic process (GO:0016070)	2673	1202	778.89	+	1.54	5.13E-48
negative regulation of protein metabolic process (GO:0051248)	1030	463	300.14	+	1.54	1.85E-15
small molecule catabolic process (GO:0044282)	285	128	83.05	+	1.54	2.08E-02
negative regulation of gene expression (GO:0010629)	1557	699	453.70	+	1.54	4.80E-25
cellular aromatic compound metabolic process (GO:0006725)	3791	1701	1104.67	+	1.54	3.47E-73
regulation of peptide transport (GO:0090087)	705	316	205.43	+	1.54	1.67E-09
regulation of cell cycle (GO:0051726)	929	416	270.70	+	1.54	2.52E-13
cellular metabolic process (GO:0044237)	7270	3254	2118.43	+	1.54	2.07E-182
positive regulation of cytokine production (GO:0001819)	401	179	116.85	+	1.53	3.57E-04
in utero embryonic development (GO:0001701)	428	191	124.72	+	1.53	1.31E-04
regulation of protein localization (GO:0032880)	964	430	280.90	+	1.53	1.32E-13
organic cyclic compound metabolic process (GO:1901360)	3978	1774	1159.16	+	1.53	3.03E-75
regulation of cell-cell adhesion (GO:0022407)	373	166	108.69	+	1.53	1.30E-03
protein localization to membrane (GO:0072657)	363	161	105.78	+	1.52	2.41E-03
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1315	583	383.18	+	1.52	4.86E-19
response to nitrogen compound (GO:1901698)	810	359	236.03	+	1.52	1.59E-10
regulation of cell cycle process (GO:0010564)	574	254	167.26	+	1.52	1.28E-06
negative regulation of cellular component organization (GO:0051129)	706	312	205.72	+	1.52	1.18E-08
regulation of MAP kinase activity (GO:0043405)	292	129	85.09	+	1.52	4.13E-02
positive regulation of transferase activity (GO:0051347)	548	242	159.68	+	1.52	4.13E-06
oxidation-reduction process (GO:0055114)	854	377	248.85	+	1.51	5.85E-11
cellular component biogenesis (GO:0044085)	2293	1012	668.17	+	1.51	7.04E-36
negative regulation of biosynthetic process (GO:0009890)	1435	632	418.15	+	1.51	2.73E-20
regulation of cellular response to stress (GO:0080135)	620	273	180.66	+	1.51	4.27E-07
positive regulation of protein metabolic process (GO:0051247)	1607	707	468.27	+	1.51	4.60E-23
establishment of organelle localization (GO:0051656)	332	146	96.74	+	1.51	1.31E-02
positive regulation of cellular protein metabolic process (GO:0032270)	1504	660	438.26	+	1.51	5.49E-21
cellular response to cytokine stimulus (GO:0071345)	588	258	171.34	+	1.51	2.00E-06
protein metabolic process (GO:0019538)	3581	1570	1043.48	+	1.50	1.20E-59
negative regulation of macromolecule biosynthetic process (GO:0010558)	1346	590	392.22	+	1.50	2.98E-18
negative regulation of macromolecule metabolic process (GO:0010605)	2373	1040	691.48	+	1.50	7.14E-36
actin filament-based process (GO:0030029)	500	219	145.70	+	1.50	5.14E-05
negative regulation of cellular biosynthetic process (GO:0031327)	1400	613	407.95	+	1.50	5.29E-19
positive regulation of cell adhesion (GO:0045785)	396	173	115.39	+	1.50	2.25E-03
regulation of protein modification process (GO:0031399)	1728	754	503.53	+	1.50	6.54E-24
response to cytokine (GO:0034097)	688	300	200.48	+	1.50	1.32E-07
regulation of cytokine production (GO:0001817)	618	269	180.08	+	1.49	1.76E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1345	584	391.92	+	1.49	3.57E-17
positive regulation of cellular component organization (GO:0051130)	1223	531	356.37	+	1.49	2.66E-15
organonitrogen compound metabolic process (GO:1901564)	4484	1945	1306.61	+	1.49	5.26E-75
regulation of cellular protein metabolic process (GO:0032268)	2421	1049	705.46	+	1.49	2.63E-34
negative regulation of metabolic process (GO:0009892)	2624	1136	764.62	+	1.49	1.24E-37
protein phosphorylation (GO:0006468)	744	322	216.80	+	1.49	5.41E-08
negative regulation of nitrogen compound metabolic process (GO:0051172)	2186	946	636.99	+	1.49	4.20E-30
positive regulation of kinase activity (GO:0033674)	474	205	138.12	+	1.48	3.81E-04
small molecule metabolic process (GO:0044281)	1485	642	432.72	+	1.48	8.11E-19
regulation of cellular component size (GO:0032535)	391	169	113.93	+	1.48	5.75E-03
macromolecule metabolic process (GO:0043170)	6252	2696	1821.79	+	1.48	9.88E-116
regulation of catalytic activity (GO:0050790)	1781	768	518.97	+	1.48	5.02E-23
heterocycle biosynthetic process (GO:0018130)	2310	996	673.12	+	1.48	1.89E-31
cellular component assembly (GO:0022607)	2093	902	609.89	+	1.48	7.66E-28
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3375	1454	983.45	+	1.48	7.51E-50
nucleobase-containing compound biosynthetic process (GO:0034654)	2246	967	654.47	+	1.48	3.97E-30
negative regulation of RNA metabolic process (GO:0051253)	1213	522	353.46	+	1.48	2.77E-14
negative regulation of cellular metabolic process (GO:0031324)	2357	1014	686.81	+	1.48	8.84E-32
positive regulation of protein kinase activity (GO:0045860)	437	188	127.34	+	1.48	1.90E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	835	359	243.31	+	1.48	7.27E-09
negative regulation of immune system process (GO:0002683)	435	187	126.76	+	1.48	2.14E-03
regulation of protein metabolic process (GO:0051246)	2605	1119	759.08	+	1.47	1.51E-35
positive regulation of macromolecule biosynthetic process (GO:0010557)	1735	745	505.57	+	1.47	1.02E-21
regulation of actin filament-based process (GO:0032970)	375	161	109.27	+	1.47	1.50E-02
cellular response to hormone stimulus (GO:0032870)	403	173	117.43	+	1.47	6.39E-03
nitrogen compound metabolic process (GO:0006807)	6998	3001	2039.17	+	1.47	3.48E-133
regulation of response to stress (GO:0080134)	1215	521	354.04	+	1.47	5.66E-14
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1766	757	514.60	+	1.47	6.12E-22
regulation of molecular function (GO:0065009)	2418	1036	704.59	+	1.47	5.97E-32
hematopoietic or lymphoid organ development (GO:0048534)	675	289	196.69	+	1.47	1.91E-06
positive regulation of cellular biosynthetic process (GO:0031328)	1829	783	532.96	+	1.47	1.07E-22
regulation of macromolecule biosynthetic process (GO:0010556)	3454	1478	1006.47	+	1.47	3.12E-49
positive regulation of cellular metabolic process (GO:0031325)	3092	1323	900.99	+	1.47	7.78E-43
hemopoiesis (GO:0030097)	617	264	179.79	+	1.47	1.21E-05
positive regulation of macromolecule metabolic process (GO:0010604)	3097	1325	902.45	+	1.47	6.81E-43
aromatic compound biosynthetic process (GO:0019438)	2321	993	676.32	+	1.47	3.98E-30
organic cyclic compound biosynthetic process (GO:1901362)	2429	1039	707.79	+	1.47	8.54E-32
regulation of cellular biosynthetic process (GO:0031326)	3591	1534	1046.39	+	1.47	3.55E-51
negative regulation of molecular function (GO:0044092)	981	419	285.86	+	1.47	2.10E-10
primary metabolic process (GO:0044238)	7522	3212	2191.86	+	1.47	7.17E-146
positive regulation of nitrogen compound metabolic process (GO:0051173)	2967	1266	864.56	+	1.46	5.36E-40
regulation of biosynthetic process (GO:0009889)	3655	1558	1065.04	+	1.46	1.20E-51
positive regulation of metabolic process (GO:0009893)	3351	1428	976.46	+	1.46	3.52E-46
regulation of gene expression (GO:0010468)	3785	1612	1102.92	+	1.46	1.02E-53
RNA biosynthetic process (GO:0032774)	1925	819	560.93	+	1.46	3.47E-23
positive regulation of biosynthetic process (GO:0009891)	1869	795	544.61	+	1.46	2.43E-22
transcription, DNA-templated (GO:0006351)	1921	817	559.77	+	1.46	4.51E-23
cytoskeleton organization (GO:0007010)	1004	427	292.56	+	1.46	2.16E-10
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3473	1477	1012.01	+	1.46	1.06E-47
positive regulation of RNA metabolic process (GO:0051254)	1583	673	461.28	+	1.46	3.26E-18
microtubule cytoskeleton organization (GO:0000226)	454	193	132.29	+	1.46	2.85E-03
nucleic acid-templated transcription (GO:0097659)	1922	817	560.06	+	1.46	5.23E-23
regulation of cellular component organization (GO:0051128)	2412	1025	702.84	+	1.46	3.09E-30
metabolic process (GO:0008152)	8332	3538	2427.89	+	1.46	7.12E-168
negative regulation of transcription, DNA-templated (GO:0045892)	1129	479	328.98	+	1.46	7.57E-12
negative regulation of nucleic acid-templated transcription (GO:1903507)	1132	480	329.86	+	1.46	7.72E-12
negative regulation of RNA biosynthetic process (GO:1902679)	1133	480	330.15	+	1.45	8.90E-12
leukocyte activation (GO:0045321)	484	205	141.03	+	1.45	1.60E-03
organic substance metabolic process (GO:0071704)	7867	3332	2292.39	+	1.45	2.08E-149
immune system development (GO:0002520)	706	299	205.72	+	1.45	2.74E-06
positive regulation of gene expression (GO:0010628)	1890	800	550.73	+	1.45	6.35E-22
organelle assembly (GO:0070925)	612	259	178.33	+	1.45	4.45E-05
protein complex oligomerization (GO:0051259)	548	231	159.68	+	1.45	3.97E-04
positive regulation of nucleic acid-templated transcription (GO:1903508)	1491	628	434.47	+	1.45	6.92E-16
cellular lipid metabolic process (GO:0044255)	793	334	231.07	+	1.45	4.56E-07
positive regulation of RNA biosynthetic process (GO:1902680)	1492	628	434.76	+	1.44	7.96E-16
positive regulation of transcription, DNA-templated (GO:0045893)	1488	626	433.59	+	1.44	1.02E-15
regulation of RNA metabolic process (GO:0051252)	3203	1347	933.33	+	1.44	4.27E-40
regulation of cell adhesion (GO:0030155)	653	274	190.28	+	1.44	3.45E-05
regulation of cellular component biogenesis (GO:0044087)	901	378	262.55	+	1.44	3.84E-08
positive regulation of establishment of protein localization (GO:1904951)	434	182	126.46	+	1.44	1.37E-02
proteolysis (GO:0006508)	1070	447	311.79	+	1.43	7.15E-10
microtubule-based process (GO:0007017)	620	259	180.66	+	1.43	1.32E-04
positive regulation of protein modification process (GO:0031401)	1197	500	348.80	+	1.43	2.19E-11
regulation of nucleic acid-templated transcription (GO:1903506)	2988	1248	870.68	+	1.43	3.87E-35
regulation of RNA biosynthetic process (GO:2001141)	2994	1250	872.43	+	1.43	3.93E-35
regulation of transcription, DNA-templated (GO:0006355)	2986	1246	870.10	+	1.43	6.83E-35
regulation of cellular metabolic process (GO:0031323)	5403	2254	1574.40	+	1.43	6.36E-76
cell activation (GO:0001775)	561	234	163.47	+	1.43	7.21E-04
regulation of transcription by RNA polymerase II (GO:0006357)	1902	793	554.23	+	1.43	6.19E-20
intracellular signal transduction (GO:0035556)	1387	577	404.16	+	1.43	2.69E-13
carboxylic acid metabolic process (GO:0019752)	773	321	225.25	+	1.43	4.67E-06
regulation of phosphorus metabolic process (GO:0051174)	1658	688	483.13	+	1.42	2.74E-16
regulation of phosphate metabolic process (GO:0019220)	1657	687	482.84	+	1.42	3.54E-16
regulation of primary metabolic process (GO:0080090)	5273	2186	1536.52	+	1.42	2.24E-70
regulation of phosphorylation (GO:0042325)	1498	621	436.51	+	1.42	2.90E-14
regulation of macromolecule metabolic process (GO:0060255)	5347	2214	1558.08	+	1.42	3.41E-71
positive regulation of cell projection organization (GO:0031346)	447	185	130.25	+	1.42	2.45E-02
regulation of metabolic process (GO:0019222)	5777	2390	1683.38	+	1.42	4.53E-79
regulation of nitrogen compound metabolic process (GO:0051171)	5140	2126	1497.76	+	1.42	7.10E-67
regulation of protein phosphorylation (GO:0001932)	1387	573	404.16	+	1.42	1.26E-12
cellular response to oxygen-containing compound (GO:1901701)	815	336	237.49	+	1.41	3.93E-06
oxoacid metabolic process (GO:0043436)	815	336	237.49	+	1.41	3.93E-06
negative regulation of transport (GO:0051051)	507	209	147.74	+	1.41	7.49E-03
negative regulation of catalytic activity (GO:0043086)	668	275	194.65	+	1.41	1.70E-04
cellular component organization or biogenesis (GO:0071840)	5114	2104	1490.19	+	1.41	4.70E-64
drug metabolic process (GO:0017144)	535	220	155.90	+	1.41	4.63E-03
vesicle-mediated transport (GO:0016192)	1214	499	353.75	+	1.41	3.02E-10
lipid metabolic process (GO:0006629)	1039	427	302.76	+	1.41	2.42E-08
regulation of programmed cell death (GO:0043067)	1504	617	438.26	+	1.41	2.94E-13
positive regulation of transcription by RNA polymerase II (GO:0045944)	1176	482	342.68	+	1.41	1.31E-09
positive regulation of cellular component biogenesis (GO:0044089)	510	209	148.61	+	1.41	1.10E-02
negative regulation of intracellular signal transduction (GO:1902532)	501	205	145.99	+	1.40	1.52E-02
regulation of growth (GO:0040008)	709	290	206.60	+	1.40	1.24E-04
regulation of cell death (GO:0010941)	1649	674	480.51	+	1.40	1.81E-14
regulation of apoptotic process (GO:0042981)	1486	607	433.01	+	1.40	1.24E-12
response to abiotic stimulus (GO:0009628)	894	365	260.51	+	1.40	2.05E-06
cellular response to endogenous stimulus (GO:0071495)	860	351	250.60	+	1.40	4.74E-06
response to organic cyclic compound (GO:0014070)	640	261	186.49	+	1.40	8.22E-04
cellular component organization (GO:0016043)	4944	2015	1440.65	+	1.40	2.79E-57
response to endogenous stimulus (GO:0009719)	1057	430	308.00	+	1.40	7.75E-08
cellular response to organic substance (GO:0071310)	1716	698	500.03	+	1.40	1.17E-14
response to hormone (GO:0009725)	595	242	173.38	+	1.40	2.89E-03
positive regulation of cellular component movement (GO:0051272)	552	224	160.85	+	1.39	9.06E-03
organic acid metabolic process (GO:0006082)	839	340	244.48	+	1.39	1.84E-05
regulation of hydrolase activity (GO:0051336)	962	388	280.32	+	1.38	2.28E-06
regulation of response to external stimulus (GO:0032101)	707	285	206.02	+	1.38	5.75E-04
negative regulation of cellular process (GO:0048523)	4433	1785	1291.75	+	1.38	2.64E-45
positive regulation of cell migration (GO:0030335)	517	208	150.65	+	1.38	3.67E-02
negative regulation of biological process (GO:0048519)	4927	1971	1435.70	+	1.37	7.27E-50
positive regulation of cell motility (GO:2000147)	536	214	156.19	+	1.37	4.33E-02
cellular response to chemical stimulus (GO:0070887)	2196	876	639.90	+	1.37	3.71E-17
positive regulation of signal transduction (GO:0009967)	1457	581	424.56	+	1.37	4.03E-10
positive regulation of cellular process (GO:0048522)	5184	2065	1510.58	+	1.37	7.48E-52
transport (GO:0006810)	3400	1352	990.74	+	1.36	3.90E-29
establishment of localization (GO:0051234)	3532	1404	1029.20	+	1.36	1.60E-30
regulation of cell motility (GO:2000145)	895	355	260.80	+	1.36	7.44E-05
regulation of cell migration (GO:0030334)	850	337	247.68	+	1.36	1.86E-04
positive regulation of locomotion (GO:0040017)	568	225	165.51	+	1.36	4.16E-02
regulation of locomotion (GO:0040012)	972	384	283.23	+	1.36	2.80E-05
negative regulation of cell proliferation (GO:0008285)	662	261	192.90	+	1.35	1.07E-02
negative regulation of cell death (GO:0060548)	1043	411	303.92	+	1.35	1.04E-05
response to oxygen-containing compound (GO:1901700)	1211	477	352.88	+	1.35	4.77E-07
positive regulation of signaling (GO:0023056)	1645	647	479.34	+	1.35	1.60E-10
regulation of intracellular signal transduction (GO:1902531)	1655	650	482.26	+	1.35	1.80E-10
positive regulation of cell communication (GO:0010647)	1638	642	477.30	+	1.35	3.85E-10
regulation of plasma membrane bounded cell projection organization (GO:0120035)	735	288	214.17	+	1.34	5.02E-03
chordate embryonic development (GO:0043009)	713	279	207.76	+	1.34	8.31E-03
regulation of cell projection organization (GO:0031344)	745	291	217.09	+	1.34	5.64E-03
positive regulation of phosphorus metabolic process (GO:0010562)	1102	430	321.12	+	1.34	1.36E-05
positive regulation of phosphate metabolic process (GO:0045937)	1102	430	321.12	+	1.34	1.36E-05
regulation of cellular component movement (GO:0051270)	979	382	285.27	+	1.34	1.14E-04
positive regulation of biological process (GO:0048518)	5822	2271	1696.49	+	1.34	4.57E-52
positive regulation of intracellular signal transduction (GO:1902533)	977	381	284.69	+	1.34	1.27E-04
regulation of proteolysis (GO:0030162)	695	271	202.52	+	1.34	1.53E-02
positive regulation of cell differentiation (GO:0045597)	1055	411	307.42	+	1.34	3.78E-05
negative regulation of programmed cell death (GO:0043069)	939	365	273.62	+	1.33	3.52E-04
regulation of signal transduction (GO:0009966)	2656	1032	773.94	+	1.33	1.37E-17
regulation of localization (GO:0032879)	2666	1031	776.85	+	1.33	5.76E-17
positive regulation of protein phosphorylation (GO:0001934)	984	380	286.73	+	1.33	3.58E-04
embryo development ending in birth or egg hatching (GO:0009792)	731	282	213.01	+	1.32	2.14E-02
regulation of cell proliferation (GO:0042127)	1602	618	466.81	+	1.32	1.80E-08
negative regulation of apoptotic process (GO:0043066)	923	356	268.96	+	1.32	1.08E-03
positive regulation of phosphorylation (GO:0042327)	1032	398	300.72	+	1.32	1.96E-04
response to organic substance (GO:0010033)	2374	912	691.77	+	1.32	9.53E-14
localization (GO:0051179)	4601	1755	1340.70	+	1.31	5.55E-31
response to stress (GO:0006950)	3005	1146	875.64	+	1.31	1.67E-17
regulation of secretion by cell (GO:1903530)	748	285	217.96	+	1.31	4.72E-02
regulation of signaling (GO:0023051)	3021	1149	880.30	+	1.31	3.40E-17
regulation of cell communication (GO:0010646)	3000	1138	874.18	+	1.30	1.27E-16
regulation of transport (GO:0051049)	1819	689	530.04	+	1.30	2.24E-08
regulation of cell differentiation (GO:0045595)	1799	681	524.22	+	1.30	3.40E-08
positive regulation of transport (GO:0051050)	1038	391	302.47	+	1.29	2.72E-03
negative regulation of response to stimulus (GO:0048585)	1546	581	450.49	+	1.29	4.40E-06
circulatory system development (GO:0072359)	877	329	255.55	+	1.29	3.25E-02
regulation of immune system process (GO:0002682)	1425	534	415.24	+	1.29	3.40E-05
positive regulation of multicellular organismal process (GO:0051240)	1834	687	534.42	+	1.29	1.65E-07
homeostatic process (GO:0042592)	1541	577	449.04	+	1.28	8.54E-06
regulation of biological quality (GO:0065008)	3663	1366	1067.37	+	1.28	1.99E-18
negative regulation of signal transduction (GO:0009968)	1163	433	338.89	+	1.28	2.12E-03
negative regulation of multicellular organismal process (GO:0051241)	1249	465	363.95	+	1.28	7.54E-04
regulation of cell development (GO:0060284)	1035	384	301.59	+	1.27	1.40E-02
regulation of developmental process (GO:0050793)	2565	951	747.42	+	1.27	1.05E-10
negative regulation of signaling (GO:0023057)	1288	475	375.31	+	1.27	1.56E-03
regulation of multicellular organismal process (GO:0051239)	3040	1120	885.84	+	1.26	1.28E-12
negative regulation of cell communication (GO:0010648)	1283	472	373.86	+	1.26	2.22E-03
response to chemical (GO:0042221)	3333	1221	971.21	+	1.26	1.83E-13
neurogenesis (GO:0022008)	1663	608	484.59	+	1.25	8.75E-05
regulation of response to stimulus (GO:0048583)	3739	1364	1089.52	+	1.25	4.46E-15
regulation of multicellular organismal development (GO:2000026)	2044	745	595.61	+	1.25	2.55E-06
positive regulation of developmental process (GO:0051094)	1478	536	430.68	+	1.24	1.82E-03
positive regulation of response to stimulus (GO:0048584)	2209	801	643.69	+	1.24	1.23E-06
nervous system development (GO:0007399)	2127	770	619.79	+	1.24	3.93E-06
generation of neurons (GO:0048699)	1566	566	456.32	+	1.24	1.23E-03
cellular process (GO:0009987)	14162	5046	4126.71	+	1.22	2.40E-130
cellular developmental process (GO:0048869)	3628	1267	1057.18	+	1.20	2.75E-08
anatomical structure morphogenesis (GO:0009653)	2086	728	607.85	+	1.20	2.92E-03
developmental process (GO:0032502)	5233	1820	1524.86	+	1.19	1.19E-13
system development (GO:0048731)	4066	1410	1184.81	+	1.19	7.04E-09
multicellular organism development (GO:0007275)	4608	1597	1342.74	+	1.19	1.13E-10
cell differentiation (GO:0030154)	3553	1227	1035.32	+	1.19	1.00E-06
anatomical structure development (GO:0048856)	4952	1695	1442.98	+	1.17	7.35E-10
regulation of cellular process (GO:0050794)	10484	3513	3054.97	+	1.15	2.55E-26
biological regulation (GO:0065007)	11743	3933	3421.83	+	1.15	1.11E-33
regulation of biological process (GO:0050789)	11139	3722	3245.83	+	1.15	1.12E-28
biological_process (GO:0008150)	20430	6270	5953.17	+	1.05	1.65E-54
cell communication (GO:0007154)	5109	1332	1488.73	-	.89	1.28E-02
signaling (GO:0023052)	4986	1282	1452.89	-	.88	1.13E-03
signal transduction (GO:0007165)	4720	1206	1375.38	-	.88	8.09E-04
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	334	54	97.33	-	.55	8.65E-03
system process (GO:0003008)	2471	372	720.03	-	.52	4.16E-47
defense response to bacterium (GO:0042742)	444	66	129.38	-	.51	3.57E-06
lymphocyte mediated immunity (GO:0002449)	315	44	91.79	-	.48	1.59E-04
Unclassified (UNCLASSIFIED)	1832	217	533.83	-	.41	0.00E00
production of molecular mediator of immune response (GO:0002440)	277	32	80.72	-	.40	4.07E-06
nervous system process (GO:0050877)	2005	227	584.24	-	.39	1.01E-64
cell recognition (GO:0008037)	307	31	89.46	-	.35	5.34E-09
immunoglobulin mediated immune response (GO:0016064)	258	25	75.18	-	.33	1.19E-07
B cell mediated immunity (GO:0019724)	260	25	75.76	-	.33	8.01E-08
humoral immune response (GO:0006959)	372	35	108.40	-	.32	1.11E-12
membrane invagination (GO:0010324)	234	22	68.19	-	.32	5.00E-07
plasma membrane invagination (GO:0099024)	228	19	66.44	-	.29	4.82E-08
G-protein coupled receptor signaling pathway (GO:0007186)	1816	144	529.17	-	.27	2.54E-89
B cell receptor signaling pathway (GO:0050853)	219	17	63.82	-	.27	2.54E-08
immunoglobulin production (GO:0002377)	254	19	74.01	-	.26	1.74E-10
phagocytosis, engulfment (GO:0006911)	219	15	63.82	-	.24	1.60E-09
protein activation cascade (GO:0072376)	239	16	69.64	-	.23	7.28E-11
sensory perception (GO:0007600)	1578	100	459.82	-	.22	1.12E-92
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	219	12	63.82	-	.19	1.55E-11
complement activation (GO:0006956)	227	12	66.15	-	.18	2.26E-12
complement activation, classical pathway (GO:0006958)	215	10	62.65	-	.16	1.29E-12
detection of chemical stimulus involved in sensory perception (GO:0050907)	59	2	17.19	-	.12	4.73E-02
phagocytosis, recognition (GO:0006910)	202	4	58.86	-	.07	9.85E-17
sensory perception of chemical stimulus (GO:0007606)	1197	12	348.80	-	.03	2.25E-130
sensory perception of smell (GO:0007608)	1099	7	320.24	-	.02	1.98E-125
